cui,preferred_name,semantic_types,token,frequency
C0332168,Time frame (qualifier value),tmco,Time frame (qualifier value),4
C0243072,derivatives,chvs,derivatives,4
C0004799,Basement membrane,tisu,Basement membrane,4
C0030580,Parotid Gland,bpoc,Parotid Gland,4
C0028630,Nucleotides,nnon,Nucleotides,4
C0008633,Chromosomes,celc,Chromosomes,4
C0009219,Coding,ocac,Coding,4
C0017428,Genome,gngm,Genome,4
C0162340,Comprehension,menp,Comprehension,4
C0441923,M+ (tumor staging),inpr,M+ (tumor staging),4
C0679846,Transtheoretical Model,inpr,Transtheoretical Model,4
C0010834,Cytoplasm,celc,Cytoplasm,4
C0034865,"Recombination, Genetic",genf,"Recombination, Genetic",4
C0282416,Overall Publication Type,inpr,Overall Publication Type,4
C1261273,Karyotype (cell structure),celc,Karyotype (cell structure),4
C0031437,Phenotype,orga,Phenotype,4
C1843013,"Alzheimer disease, familial, type 3",dsyn,"Alzheimer disease, familial, type 3",4
C1441506,Calculation,acty,Calculation,4
C0001080,Achondroplasia,cgab,Achondroplasia,4
C0024796,Marfan Syndrome,dsyn,Marfan Syndrome,4
C0917713,Becker Muscular Dystrophy,dsyn,Becker Muscular Dystrophy,4
C0034656,Randomization,resa,Randomization,4
C0036751,serotonin,"bacs,orch",serotonin,4
C0027078,Myoglobin,"aapp,bacs",Myoglobin,4
C0086022,Cloning Vectors,nnon,Cloning Vectors,4
C0019904,Homozygote,orga,Homozygote,4
C0443264,Modulated,spco,Modulated,4
C0030940,Peptide Hydrolases,"aapp,enzy",Peptide Hydrolases,4
C0887950,Genomics,bmod,Genomics,4
C0439095,Greek letter alpha (qualifier value),inpr,Greek letter alpha (qualifier value),4
C2987634,Agonist,bacs,Agonist,4
C0683474,Motivational Interviewing,topp,Motivational Interviewing,4
C0027627,Neoplasm Metastasis,neop,Neoplasm Metastasis,4
C0027540,Necrosis,ortf,Necrosis,4
C0025568,Metaplasia,comd,Metaplasia,4
C1882062,Neoplastic disease,neop,Neoplastic disease,4
C0205360,Stable status,qlco,Stable status,4
C1314939,Involvement with,ftcn,Involvement with,4
C0017270,Gene Frequency,qnco,Gene Frequency,4
C0024742,mannose,"orch,phsu",mannose,4
C0243092,Cellular Structures,celc,Cellular Structures,4
C1253945,Ground substance,bdsu,Ground substance,4
C0029073,Operon,gngm,Operon,4
C3714445,Maintenance dose,qnco,Maintenance dose,4
C3714444,Loading dose,qnco,Loading dose,4
C1280412,Thick,qlco,Thick,4
C0456378,Type of bridge device,medd,Type of bridge device,4
C0037253,Skeletal system,bdsy,Skeletal system,4
C0037941,Spinal nerve structure,bpoc,Spinal nerve structure,4
C0227952,Foreskin of penis,bpoc,Foreskin of penis,4
C0007759,Cerebellar cortex structure,bpoc,Cerebellar cortex structure,4
C0013313,Dura Mater,bpoc,Dura Mater,4
C0025285,Meninges,bpoc,Meninges,4
C0000936,Visual Accommodation,ortf,Visual Accommodation,4
C1632850,apply - action,ftcn,apply - action,4
C1527169,Encounter due to being a donor,fndg,Encounter due to being a donor,4
C0030892,Pentose Phosphate Pathway,moft,Pentose Phosphate Pathway,4
C0205254,Sedentary,qlco,Sedentary,4
C0001648,Adrenergic Agonists,phsu,Adrenergic Agonists,4
C0330390,Beta plant,plnt,Beta plant,4
C0392762,Quantitative,qnco,Quantitative,4
C0547040,Minimal,qlco,Minimal,4
C0008625,Chromosome Aberrations,comd,Chromosome Aberrations,4
C0006413,Burkitt Lymphoma,neop,Burkitt Lymphoma,4
C0524869,Loss of Heterozygosity,genf,Loss of Heterozygosity,4
C0205166,Long,qlco,Long,4
C0282575,Micronutrients,bacs,Micronutrients,4
C1138412,"Diet, Mediterranean",topp,"Diet, Mediterranean",4
C0012173,Dietary Fiber,food,Dietary Fiber,4
C0429631,Nitrogen balance,fndg,Nitrogen balance,4
C0521117,Severity of illness,qlco,Severity of illness,4
C0242726,Plant Roots,plnt,Plant Roots,4
C1273517,Used by,fndg,Used by,4
C0024090,Lumbar Region,blor,Lumbar Region,4
C0013770,Elbow joint structure,bsoj,Elbow joint structure,4
C0205107,Proximal,spco,Proximal,4
C0392905,Articular system,bdsy,Articular system,4
C0028109,Nipples,bpoc,Nipples,4
C0041638,Umbilicus (Anatomy),blor,Umbilicus (Anatomy),4
C0042338,"herpesvirus 3, human",virs,"herpesvirus 3, human",4
C0459521,Sympathetic nerve structure,bpoc,Sympathetic nerve structure,4
C0234250,"Pain, Referred",sosy,"Pain, Referred",4
C0502371,Anatomical feature,spco,Anatomical feature,4
C1522720,Pleural,spco,Pleural,4
C0019270,Hernia,anab,Hernia,4
C0030551,parent,famg,parent,4
C0205216,Decreased,qnco,Decreased,4
C0033860,Psoriasis,dsyn,Psoriasis,4
C0589488,Subclavicular approach,spco,Subclavicular approach,4
C0497156,Lymphadenopathy,dsyn,Lymphadenopathy,4
C0006090,Brachial plexus structure,bpoc,Brachial plexus structure,4
C1184148,Extensor,blor,Extensor,4
C0309872,PREVENT (product),phsu,PREVENT (product),4
C0332194,Anterolateral,spco,Anterolateral,4
C0439738,Four quadrants,spco,Four quadrants,4
C1704322,Orientation (spatial),spco,Orientation (spatial),4
C0042241,Vaginal contraceptive diaphragm (device),medd,Vaginal contraceptive diaphragm (device),4
C0442030,Parietal,spco,Parietal,4
C0039979,Thoracic Duct,bpoc,Thoracic Duct,4
C0042027,Urinary tract,bpoc,Urinary tract,4
C0230436,Popliteal fossa structure,blor,Popliteal fossa structure,4
C0230463,Sole of Foot,blor,Sole of Foot,4
C1140621,Leg,bpoc,Leg,4
C4082130,Prepared (qualifier value),fndg,Prepared (qualifier value),4
C1373187,Renal Elimination,ortf,Renal Elimination,4
C0016452,Food,food,Food,4
C0442828,Electrical (qualifier value),ftcn,Electrical (qualifier value),4
C0017526,Giant Cells,cell,Giant Cells,4
C0439453,International Unit,qnco,International Unit,4
C0178702,hypersensitivity desensitization,topp,hypersensitivity desensitization,4
C0443246,Left sided,spco,Left sided,4
C0003489,Aortic arch structure,bpoc,Aortic arch structure,4
C0003492,Aortic coarctation,cgab,Aortic coarctation,4
C2347083,Maternal Relative,famg,Maternal Relative,4
C0185003,Reparative closure,topp,Reparative closure,4
C0242291,Fetal Tissue,tisu,Fetal Tissue,4
C0456261,Pulmonary Vascular Resistance,fndg,Pulmonary Vascular Resistance,4
C0311418,Oncotic pressure,npop,Oncotic pressure,4
C0162367,Interstitial Fluid,bdsu,Interstitial Fluid,4
C0018810,heart rate,clna,heart rate,4
C0042380,Vascular resistance,phsf,Vascular resistance,4
C0332206,Blocking,ftcn,Blocking,4
C0003968,ascorbic acid,"orch,phsu,vita",ascorbic acid,4
C0031308,Phagocytosis,celf,Phagocytosis,4
C0232108,Arterial pulse pressure,ortf,Arterial pulse pressure,4
C1527409,Renal blood flow,ortf,Renal blood flow,4
C0232809,Glomerular filtration,ortf,Glomerular filtration,4
C0231800,"Expiration, function",orgf,"Expiration, function",4
C0035245,Respiratory physiology,phsf,Respiratory physiology,4
C0332506,Normal size,qnco,Normal size,4
C0231953,Lung Volumes,ortf,Lung Volumes,4
C0232010,Alveolar pressure,ortf,Alveolar pressure,4
C0012359,Pathological Dilatation,patf,Pathological Dilatation,4
C0231975,Physiological dead space,lbtr,Physiological dead space,4
C0034354,Pyruvates,orch,Pyruvates,4
C0013990,Pathological accumulation of air in tissues,patf,Pathological accumulation of air in tissues,4
C0449971,Volume of fluid used,qnco,Volume of fluid used,4
C0002940,Aneurysm,patf,Aneurysm,4
C0442025,Muscular,spco,Muscular,4
C1186983,anatomic valve,bpoc,anatomic valve,4
C0040578,Trachea,bpoc,Trachea,4
C0206177,Physiologic intraventricular pressure,fndg,Physiologic intraventricular pressure,4
C0003507,Aortic Valve Stenosis,dsyn,Aortic Valve Stenosis,4
C0026266,Mitral Valve Insufficiency,patf,Mitral Valve Insufficiency,4
C0018808,Heart murmur,fndg,Heart murmur,4
C0011167,Deglutition,orgf,Deglutition,4
C0336969,Ejection as a Sports activity,dora,Ejection as a Sports activity,4
C0428886,Mean blood pressure,fndg,Mean blood pressure,4
C0018801,Heart failure,dsyn,Heart failure,4
C0205423,Certain (qualifier value),qlco,Certain (qualifier value),4
C0030163,Artificial cardiac pacemaker,medd,Artificial cardiac pacemaker,4
C0233571,excitement emotion,menp,excitement emotion,4
C0001924,Albumins,"aapp,bacs",Albumins,4
C0037889,Hereditary spherocytosis,dsyn,Hereditary spherocytosis,4
C0005821,Blood Platelets,cell,Blood Platelets,4
C0439677,Myeloid,qlco,Myeloid,4
C0023516,Leukocytes,cell,Leukocytes,4
C0042878,vitamin K,"orch,phsu,vita",vitamin K,4
C0018188,Granuloma,patf,Granuloma,4
C0686904,Patient need for (contextual qualifier),ftcn,Patient need for (contextual qualifier),4
C0152058,Compensation as a General Biological Function,phsf,Compensation as a General Biological Function,4
C0504064,Secondary lymphoid organ,bpoc,Secondary lymphoid organ,4
C0685894,Congenital absence of thymus,cgab,Congenital absence of thymus,4
C0819141,Bronchial tree,bpoc,Bronchial tree,4
C1704247,Peritoneal Cavity,bsoj,Peritoneal Cavity,4
C0243066,Atresia,cgab,Atresia,4
C1261287,Stenosis,patf,Stenosis,4
C0007012,carbon dioxide,"bacs,inch",carbon dioxide,4
C0037981,Spirometry,diap,Spirometry,4
C0332464,Widening,spco,Widening,4
C0031001,Perfusion (procedure),topp,Perfusion (procedure),4
C0002063,Alkalosis,dsyn,Alkalosis,4
C0041951,Ureter,bpoc,Ureter,4
C0041967,Urethra,bpoc,Urethra,4
C0226356,Glomerular capillaries structure,bpoc,Glomerular capillaries structure,4
C0206087,Renal Plasma Flow,lbtr,Renal Plasma Flow,4
C0036825,Serum Proteins,"aapp,bacs",Serum Proteins,4
C0062725,hippuric acid,"bacs,orch",hippuric acid,4
C0003074,Anion Gap,clna,Anion Gap,4
C0150411,Analysis of arterial blood gases and pH,lbpr,Analysis of arterial blood gases and pH,4
C0447640,pars nervosa of hypophysis,bpoc,pars nervosa of hypophysis,4
C0022131,Islets of Langerhans,bpoc,Islets of Langerhans,4
C0020676,Hypothyroidism,dsyn,Hypothyroidism,4
C0332287,In addition to,ftcn,In addition to,4
C0026160,Mineralocorticoids,"horm,orch,phsu",Mineralocorticoids,4
C0033306,Progestins,"horm,orch,phsu",Progestins,4
C3645613,Characteristic type,inpr,Characteristic type,4
C0242339,Dyslipidemias,dsyn,Dyslipidemias,4
C0227792,Structure of vaginal canal,bsoj,Structure of vaginal canal,4
C0079104,Pap smear,lbpr,Pap smear,4
C0034011,Puberty,phsf,Puberty,4
C0205372,Tertiary,qnco,Tertiary,4
C1653690,Alphapapillomavirus,virs,Alphapapillomavirus,4
C0033308,progesterone,"horm,orch,phsu",progesterone,4
C0205251,low,qlco,low,4
C0016945,galactose,"bacs,orch",galactose,4
C0005423,Biliary tract structure,bpoc,Biliary tract structure,4
C0003461,Anus,bpoc,Anus,4
C0205052,rectal,spco,rectal,4
C0000737,Abdominal Pain,sosy,Abdominal Pain,4
C0020885,ileum,bpoc,ileum,4
C0021851,Large Intestine,bpoc,Large Intestine,4
C0227411,Anal canal,bsoj,Anal canal,4
C0018670,Head,blor,Head,4
C0030013,Oxidative Phosphorylation,moft,Oxidative Phosphorylation,4
C0001026,acetyl coenzyme A,"bacs,nnon",acetyl coenzyme A,4
C0445385,Roman numeral VII,inpr,Roman numeral VII,4
C0039336,Taste Perception,ortf,Taste Perception,4
C0032584,polyps,anab,polyps,4
C0022638,Ketosis,dsyn,Ketosis,4
C0205318,Uncontrolled,qlco,Uncontrolled,4
C0206111,Enteric Nervous System,bdsy,Enteric Nervous System,4
C0018799,Heart Diseases,dsyn,Heart Diseases,4
C0439661,Acquired (qualifier value),qlco,Acquired (qualifier value),4
C1704242,Gastric (qualifier value),qlco,Gastric (qualifier value),4
C3714756,Intellectual Disability,mobd,Intellectual Disability,4
C0021839,Intestinal Mucosa,tisu,Intestinal Mucosa,4
C0038238,Steatorrhea,fndg,Steatorrhea,4
C0008370,Cholestasis,dsyn,Cholestasis,4
C0993637,Published Database,inpr,Published Database,4
C0003962,Ascites,dsyn,Ascites,4
C1458140,Bleeding tendency,patf,Bleeding tendency,4
C0022209,isoniazid,"orch,phsu",isoniazid,4
C0023676,Life Style,socb,Life Style,4
C0162316,Iron deficiency anemia,dsyn,Iron deficiency anemia,4
C0001551,Immunologic Adjuvants,"imft,phsu",Immunologic Adjuvants,4
C0342257,Complications of Diabetes Mellitus,dsyn,Complications of Diabetes Mellitus,4
C0012144,Structure of diencephalon,bpoc,Structure of diencephalon,4
C0443235,Impulse technique,topp,Impulse technique,4
C0038527,Subarachnoid Space,bsoj,Subarachnoid Space,4
C0205123,Coronal (qualifier value),spco,Coronal (qualifier value),4
C0002766,Pain management,topp,Pain management,4
C0152054,Therapeutic tactile stimulation,topp,Therapeutic tactile stimulation,4
C0029237,Physiologic Organization,phsf,Physiologic Organization,4
C3495441,primary motor cortex,blor,primary motor cortex,4
C0231448,Extension,ftcn,Extension,4
C0231502,Motor unit,bpoc,Motor unit,4
C0332459,Compressed structure,ftcn,Compressed structure,4
C0376683,Lecture,inpr,Lecture,4
C0205156,Previous,tmco,Previous,4
C0017601,Glaucoma,dsyn,Glaucoma,4
C0344233,Retinal blind spot,fndg,Retinal blind spot,4
C0520451,Corneal Reflexes,ortf,Corneal Reflexes,4
C0015413,Eye Movements,phsf,Eye Movements,4
C0013443,Ear structure,bpoc,Ear structure,4
C0009421,Comatose,dsyn,Comatose,4
C0000905,Accessory nerve structure,bpoc,Accessory nerve structure,4
C0446459,Anterior triangle of neck,blor,Anterior triangle of neck,4
C0030219,"Palate, Soft",bpoc,"Palate, Soft",4
C0226901,Hard Palate,bpoc,Hard Palate,4
C0230039,Structure of pterygopalatine fossa,bsoj,Structure of pterygopalatine fossa,4
C0458410,Intracranial nerve structure,bpoc,Intracranial nerve structure,4
C0223085,Structure of intervertebral foramen,bsoj,Structure of intervertebral foramen,4
C0699718,Physical therapy (field),bmod,Physical therapy (field),4
C1704312,Health Professional,prog,Health Professional,4
C0030231,Palliative Care,topp,Palliative Care,4
C0336791,"Tool, device (physical object)",mnob,"Tool, device (physical object)",4
C0037392,Soap,mnob,Soap,4
C0002055,Alkalies,inch,Alkalies,4
C0005887,Body Dysmorphic Disorders,mobd,Body Dysmorphic Disorders,4
C0012746,Dissociative disorder,mobd,Dissociative disorder,4
C0876934,Neuropathology,bmod,Neuropathology,4
C0037313,Sleep,orgf,Sleep,4
C0033975,Psychotic Disorders,mobd,Psychotic Disorders,4
C0031212,Personality Disorders,mobd,Personality Disorders,4
C0242656,Disease Progression,patf,Disease Progression,4
C0002395,Alzheimer's Disease,dsyn,Alzheimer's Disease,4
C0023008,Languages,lang,Languages,4
C3242284,Population Health,hlca,Population Health,4
C0231303,Distress,fndg,Distress,4
C0086035,Competence,qlco,Competence,4
C0038137,standards characteristics,ftcn,standards characteristics,4
C0028377,Normal Statistical Distribution,qnco,Normal Statistical Distribution,4
C0442711,Protocols documentation,inpr,Protocols documentation,4
C0949285,"Antibiotic Resistance, Microbial",orga,"Antibiotic Resistance, Microbial",4
C0205557,False Positive,fndg,False Positive,4
C0036667,Statistical sensitivity,qnco,Statistical sensitivity,4
C0456984,Test Result,lbtr,Test Result,4
C0009498,Complement System Proteins,"aapp,imft",Complement System Proteins,4
C1442065,Address,inpr,Address,4
C0024141,"Lupus Erythematosus, Systemic",dsyn,"Lupus Erythematosus, Systemic",4
C0038492,student,popg,student,4
C0231170,Disability,fndg,Disability,4
C2718051,Climate Change,npop,Climate Change,4
C0011911,Laboratory Diagnosis,diap,Laboratory Diagnosis,4
C0003241,Antibodies,"aapp,imft,phsu",Antibodies,4
C1696945,"Burnout, Psychological",mobd,"Burnout, Psychological",4
C0476644,Physical and emotional exhaustion state,fndg,Physical and emotional exhaustion state,4
C0332218,Difficult (qualifier value),fndg,Difficult (qualifier value),4
C5392149,Clinical Reasoning,menp,Clinical Reasoning,4
C0398686,Primary immune deficiency disorder,dsyn,Primary immune deficiency disorder,4
C0202311,Aluminum measurement,lbpr,Aluminum measurement,4
C0206072,Family Violence,socb,Family Violence,4
C1333803,Gastrointestinal System Finding,fndg,Gastrointestinal System Finding,4
C0021081,Immunosuppressive Agents,"imft,phsu",Immunosuppressive Agents,4
C0031911,Pigmentation,orga,Pigmentation,4
C0030354,Papilloma,neop,Papilloma,4
C0005477,Biochemistry,ocdi,Biochemistry,4
C0949688,Molecular Diagnostic Techniques,mbrt,Molecular Diagnostic Techniques,4
C0332305,With staging,ftcn,With staging,4
C0030472,Paraneoplastic Syndromes,neop,Paraneoplastic Syndromes,4
C0184613,Chemotherapy care,hlca,Chemotherapy care,4
C0520510,Materials,sbst,Materials,4
C0016436,Folliculitis,dsyn,Folliculitis,4
C0007642,Cellulitis,patf,Cellulitis,4
C0042384,Vasculitis,dsyn,Vasculitis,4
C0034150,Purpura,dsyn,Purpura,4
C0205615,Well Differentiated,qlco,Well Differentiated,4
C0032946,Predisposing Factors,tmco,Predisposing Factors,4
C0025007,Measles,dsyn,Measles,4
C1704212,Embolus,fndg,Embolus,4
C0745136,Hypertensive emergency,dsyn,Hypertensive emergency,4
C3888198,"BESTROPHINOPATHY, AUTOSOMAL RECESSIVE",dsyn,"BESTROPHINOPATHY, AUTOSOMAL RECESSIVE",4
C0028125,Nitrates,chvs,Nitrates,4
C0013217,pharmacotherapeutic,ftcn,pharmacotherapeutic,4
C0003374,Antimalarials,phsu,Antimalarials,4
C1318955,Asthma management,hlca,Asthma management,4
C0234233,Sore to touch,sosy,Sore to touch,4
C0149725,Lower respiratory tract infection,dsyn,Lower respiratory tract infection,4
C0041327,"Tuberculosis, Pulmonary",dsyn,"Tuberculosis, Pulmonary",4
C0024301,"Lymphoma, Follicular",neop,"Lymphoma, Follicular",4
C0562238,Examination of abdomen,diap,Examination of abdomen,4
C0036916,Sexually Transmitted Diseases,dsyn,Sexually Transmitted Diseases,4
C0200045,Manual pelvic examination (procedure),diap,Manual pelvic examination (procedure),4
C1272644,Fibrocystic change,comd,Fibrocystic change,4
C0346647,Malignant neoplasm of pancreas,neop,Malignant neoplasm of pancreas,4
C4545686,Geographical location (property),qlco,Geographical location (property),4
C0031842,Physiology,bmod,Physiology,4
C0027662,Multiple Endocrine Neoplasia,neop,Multiple Endocrine Neoplasia,4
C0206659,Embryonal Carcinoma,neop,Embryonal Carcinoma,4
C0036631,Seminoma,neop,Seminoma,4
C0006145,Breast Diseases,dsyn,Breast Diseases,4
C0010701,Phyllodes Tumor,neop,Phyllodes Tumor,4
C0919267,ovarian neoplasm,neop,ovarian neoplasm,4
C2609414,Acute kidney injury,inpo,Acute kidney injury,4
C0017668,Focal glomerulosclerosis,dsyn,Focal glomerulosclerosis,4
C0332449,Minimal lesion,anab,Minimal lesion,4
C0341106,Eosinophilic esophagitis,dsyn,Eosinophilic esophagitis,4
C0014859,Esophageal Neoplasms,neop,Esophageal Neoplasms,4
C3489393,Hiatal Hernia,dsyn,Hiatal Hernia,4
C0014869,Peptic Esophagitis,dsyn,Peptic Esophagitis,4
C0038356,Stomach Neoplasms,neop,Stomach Neoplasms,4
C0232574,Abnormal gastric motility,fndg,Abnormal gastric motility,4
C0038354,Stomach Diseases,dsyn,Stomach Diseases,4
C0401151,Chronic diarrhea,dsyn,Chronic diarrhea,4
C0699790,Colon Carcinoma,neop,Colon Carcinoma,4
C0012819,Diverticular disease of colon,dsyn,Diverticular disease of colon,4
C0021390,Inflammatory Bowel Diseases,dsyn,Inflammatory Bowel Diseases,4
C0009373,Colonic Diseases,dsyn,Colonic Diseases,4
C0024050,Lower gastrointestinal hemorrhage,patf,Lower gastrointestinal hemorrhage,4
C2931618,Gestational trophoblastic disease,dsyn,Gestational trophoblastic disease,4
C0020217,Hydatidiform Mole,neop,Hydatidiform Mole,4
C0151864,Disorder of pregnancy,dsyn,Disorder of pregnancy,4
C0242350,Erectile dysfunction,dsyn,Erectile dysfunction,4
C0271623,Hypogonadotropic hypogonadism,dsyn,Hypogonadotropic hypogonadism,4
C0022735,Klinefelter Syndrome,dsyn,Klinefelter Syndrome,4
C4551720,Primary Ciliary Dyskinesia,dsyn,Primary Ciliary Dyskinesia,4
C0020514,Hyperprolactinemia,dsyn,Hyperprolactinemia,4
C0156372,Asherman Syndrome,dsyn,Asherman Syndrome,4
C0041408,Turner Syndrome,dsyn,Turner Syndrome,4
C0025345,Menstruation Disturbances,patf,Menstruation Disturbances,4
C0014534,Epididymitis,dsyn,Epididymitis,4
C0037856,Spermatic Cord Torsion,dsyn,Spermatic Cord Torsion,4
C0206708,Cervical Intraepithelial Neoplasia,neop,Cervical Intraepithelial Neoplasia,4
C0007855,Cervical polyp,neop,Cervical polyp,4
C0017416,"Genital Neoplasms, Female",neop,"Genital Neoplasms, Female",4
C0014139,Endocytosis,celf,Endocytosis,3
C0023688,Ligands,chem,Ligands,3
C0035553,Ribosomes,celc,Ribosomes,3
C0752063,peroxisome,celc,peroxisome,3
C0008546,Chromatin,aapp,Chromatin,3
C0231204,Susceptible,ftcn,Susceptible,3
C0085078,Lysosomal Storage Diseases,dsyn,Lysosomal Storage Diseases,3
C0026377,Molecular Conformation,spco,Molecular Conformation,3
C0010853,Cytoskeleton,celc,Cytoskeleton,3
C0010851,Cytoskeletal Filaments,celc,Cytoskeletal Filaments,3
C0026046,Microtubules,celc,Microtubules,3
C0007608,cell motility,celf,cell motility,3
C0314672,Polymerization,phpr,Polymerization,3
C0005529,"Biological Transport, Active",phsf,"Biological Transport, Active",3
C2244328,Facilitated Diffusion,moft,Facilitated Diffusion,3
C0449417,Source of energy,fndg,Source of energy,3
C0162585,Ion Transport,celf,Ion Transport,3
C0600080,Stretching exercises,topp,Stretching exercises,3
C0022009,Ion Channel,"aapp,bacs",Ion Channel,3
C0242358,Tight Junctions,bsoj,Tight Junctions,3
C0445022,Loop,spco,Loop,3
C1960952,Milligram percent,qnco,Milligram percent,3
C1519795,Unit of Measure,qnco,Unit of Measure,3
C0332296,Free of (attribute),ftcn,Free of (attribute),3
C0235169,Excitability,sosy,Excitability,3
C0547047,Decrease,qnco,Decrease,3
C3714552,Weakness,sosy,Weakness,3
C0023749,linoleic acid,"bacs,orch,phsu",linoleic acid,3
C0034085,Pulmonary Surfactants,"bacs,orch,phsu",Pulmonary Surfactants,3
C0489460,Energy requirement,clna,Energy requirement,3
C0017742,Glucose Transporter,"aapp,bacs",Glucose Transporter,3
C1612819,"CFTR protein, human","aapp,bacs","CFTR protein, human",3
C0004268,Attention,menp,Attention,3
C0017472,Germ Layers,emst,Germ Layers,3
C0085872,Basal lamina,tisu,Basal lamina,3
C0014133,Endocrine Glands,bpoc,Endocrine Glands,3
C0015282,Exocrine Glands,bpoc,Exocrine Glands,3
C0038553,Sublingual Gland,bpoc,Sublingual Gland,3
C0011529,Deoxyribonucleotides,nnon,Deoxyribonucleotides,3
C0035548,Ribonucleotides,nnon,Ribonucleotides,3
C0019652,Histones,"aapp,bacs",Histones,3
C1621812,Metaphase,celf,Metaphase,3
C0035608,rifampin,"antb,orch",rifampin,3
C0205286,Mature,tmco,Mature,3
C0026255,Mitosis,celf,Mitosis,3
C0010813,Cytokinesis,celf,Cytokinesis,3
C0017001,Gametogenesis,ortf,Gametogenesis,3
C0028303,"Nondisjunction, Genetic",genf,"Nondisjunction, Genetic",3
C0017398,Science of genetics,bmod,Science of genetics,3
C0011198,Delaware,geoa,Delaware,3
C0027126,Myotonic Dystrophy,dsyn,Myotonic Dystrophy,3
C0443147,Autosomal dominant inheritance,genf,Autosomal dominant inheritance,3
C0728826,Genetic Inheritance,ftcn,Genetic Inheritance,3
C2936267,Haploinsufficiency,comd,Haploinsufficiency,3
C0887941,Mitochondrial Inheritance,genf,Mitochondrial Inheritance,3
C2924406,Genetic disorders screening,lbpr,Genetic disorders screening,3
C0017380,Genetic Code,mosq,Genetic Code,3
C0599220,Protein Subunits,aapp,Protein Subunits,3
C0003237,"Antibiotics, Antitubercular",antb,"Antibiotics, Antitubercular",3
C0014436,Enzyme Precursors,"aapp,bacs",Enzyme Precursors,3
C0041485,tyrosine,"aapp,bacs,phsu",tyrosine,3
C0917796,"Optic Atrophy, Hereditary, Leber",dsyn,"Optic Atrophy, Hereditary, Leber",3
C0949628,Uniparental Disomy,dsyn,Uniparental Disomy,3
C0016667,Fragile X Syndrome,dsyn,Fragile X Syndrome,3
C0017382,Genetic Counseling,topp,Genetic Counseling,3
C0175723,Bands,medd,Bands,3
C1449575,Microarray Analysis,lbpr,Microarray Analysis,3
C1866260,"Peroxisome Biogenesis Disorder, Complementation Group H",dsyn,"Peroxisome Biogenesis Disorder, Complementation Group H",3
C4722001,Substance with effector mechanism of action (substance),sbst,Substance with effector mechanism of action (substance),3
C0205357,Smooth,qlco,Smooth,3
C0231491,Antagonist muscle action,ortf,Antagonist muscle action,3
C0086982,Signal Transduction Pathways,moft,Signal Transduction Pathways,3
C0162491,Serum Markers,qlco,Serum Markers,3
C0016977,Gall Bladder Diseases,dsyn,Gall Bladder Diseases,3
C1266129,Atypical Lipoma,neop,Atypical Lipoma,3
C0334227,"Tumor cells, malignant",cell,"Tumor cells, malignant",3
C1510467,trauma qualifier,qlco,trauma qualifier,3
C0007587,Cell Death,celf,Cell Death,3
C0333641,Atrophic,patf,Atrophic,3
C0334044,Dysplasia,patf,Dysplasia,3
C0007099,Carcinoma in Situ,neop,Carcinoma in Situ,3
C0181001,Mouth gag,medd,Mouth gag,3
C0003969,Ascorbic Acid Deficiency,dsyn,Ascorbic Acid Deficiency,3
C0581602,Structural modification,topp,Structural modification,3
C0016030,Fibroblasts,cell,Fibroblasts,3
C0015350,Extracellular Matrix,tisu,Extracellular Matrix,3
C0009968,copper,"bacs,elii,phsu",copper,3
C0268070,Hypocupremia,dsyn,Hypocupremia,3
C0009780,Connective Tissue,tisu,Connective Tissue,3
C0206131,Adipocytes,cell,Adipocytes,3
C0024880,mast cell,cell,mast cell,3
C0004827,Basophils,cell,Basophils,3
C0026473,Monocytes,cell,Monocytes,3
C0230895,Connective tissue fiber,bdsu,Connective tissue fiber,3
C0004790,Base Composition,qnco,Base Composition,3
C0002792,anaphylaxis,dsyn,anaphylaxis,3
C0439751,Entire,qnco,Entire,3
C0439850,Inverse,qlco,Inverse,3
C0558141,Transsexual (finding),fndg,Transsexual (finding),3
C1690016,% volume (qualifier value),qlco,% volume (qualifier value),3
C0443218,Fixed behavior,qlco,Fixed behavior,3
C0205253,Immediate,tmco,Immediate,3
C0027869,Neuromuscular Junction,celc,Neuromuscular Junction,3
C0027871,Muscle Spindles,bpoc,Muscle Spindles,3
C0011305,Dendrites,celc,Dendrites,3
C2752549,cell body,celc,cell body,3
C0004462,Axonal Transport,celf,Axonal Transport,3
C0018220,Gray Matter,tisu,Gray Matter,3
C0475853,Spinal cord grey matter structure,tisu,Spinal cord grey matter structure,3
C0026769,Multiple Sclerosis,dsyn,Multiple Sclerosis,3
C0457845,Segment of spinal cord,bpoc,Segment of spinal cord,3
C0028040,nicotine,"hops,orch",nicotine,3
C0008425,Cholinesterase Inhibitors,"orch,phsu",Cholinesterase Inhibitors,3
C0003385,Muscarinic Antagonists,phsu,Muscarinic Antagonists,3
C0025677,methotrexate,"orch,phsu",methotrexate,3
C0740394,Hyperuricemia,dsyn,Hyperuricemia,3
C0243132,occurrence characteristics,ftcn,occurrence characteristics,3
C1260969,Ring device,medd,Ring device,3
C0205370,Unspecified,qlco,Unspecified,3
C0242614,Genomic Imprinting,genf,Genomic Imprinting,3
C0333715,Robertsonian translocation,comd,Robertsonian translocation,3
C0012899,DNA Repair,genf,DNA Repair,3
C0040648,TRANSCRIPTION FACTOR,"aapp,bacs",TRANSCRIPTION FACTOR,3
